,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
177,1305600,10.0,21.0,2649600,0,422400,864000,1267200,844800,20390400,2150400,844800,0
178,1689600,19.0,29.0,1305600,2649600,0,422400,864000,1267200,844800,20390400,2150400,844800
179,844800,21.0,32.0,1689600,1305600,2649600,0,422400,864000,1267200,844800,20390400,2150400
180,0,26.0,35.0,844800,1689600,1305600,2649600,0,422400,864000,1267200,844800,20390400
181,422400,24.0,31.0,0,844800,1689600,1305600,2649600,0,422400,864000,1267200,844800
182,443520,26.0,35.0,422400,0,844800,1689600,1305600,2649600,0,422400,864000,1267200
183,1689600,13.0,20.0,443520,422400,0,844800,1689600,1305600,2649600,0,422400,864000
184,1728000,14.0,21.0,1689600,443520,422400,0,844800,1689600,1305600,2649600,0,422400
185,0,25.0,33.0,1728000,1689600,443520,422400,0,844800,1689600,1305600,2649600,0
186,1267200,14.0,20.0,0,1728000,1689600,443520,422400,0,844800,1689600,1305600,2649600
187,921600,14.0,17.0,1267200,0,1728000,1689600,443520,422400,0,844800,1689600,1305600
188,844800,14.0,19.0,921600,1267200,0,1728000,1689600,443520,422400,0,844800,1689600
189,2995200,13.0,21.0,844800,921600,1267200,0,1728000,1689600,443520,422400,0,844800
190,1267200,11.0,22.0,2995200,844800,921600,1267200,0,1728000,1689600,443520,422400,0
191,883200,15.0,23.0,1267200,2995200,844800,921600,1267200,0,1728000,1689600,443520,422400
192,0,25.0,32.0,883200,1267200,2995200,844800,921600,1267200,0,1728000,1689600,443520
193,422400,15.0,21.0,0,883200,1267200,2995200,844800,921600,1267200,0,1728000,1689600
194,1267200,16.0,29.0,422400,0,883200,1267200,2995200,844800,921600,1267200,0,1728000
195,1728000,16.0,18.0,1267200,422400,0,883200,1267200,2995200,844800,921600,1267200,0
196,854400,13.0,20.0,1728000,1267200,422400,0,883200,1267200,2995200,844800,921600,1267200
197,1651200,14.0,20.0,854400,1728000,1267200,422400,0,883200,1267200,2995200,844800,921600
198,2150400,15.0,23.0,1651200,854400,1728000,1267200,422400,0,883200,1267200,2995200,844800
199,0,23.0,31.0,2150400,1651200,854400,1728000,1267200,422400,0,883200,1267200,2995200
200,844800,16.0,25.0,0,2150400,1651200,854400,1728000,1267200,422400,0,883200,1267200
201,21840000,15.0,22.0,844800,0,2150400,1651200,854400,1728000,1267200,422400,0,883200
202,422400,11.0,15.0,21840000,844800,0,2150400,1651200,854400,1728000,1267200,422400,0
203,2150400,9.0,13.0,422400,21840000,844800,0,2150400,1651200,854400,1728000,1267200,422400
204,422400,11.0,21.0,2150400,422400,21840000,844800,0,2150400,1651200,854400,1728000,1267200
205,0,23.0,34.0,422400,2150400,422400,21840000,844800,0,2150400,1651200,854400,1728000
206,422400,12.0,22.0,0,422400,2150400,422400,21840000,844800,0,2150400,1651200,854400
207,1689600,15.0,19.0,422400,0,422400,2150400,422400,21840000,844800,0,2150400,1651200
208,0,24.0,34.0,1689600,422400,0,422400,2150400,422400,21840000,844800,0,2150400
209,0,24.0,32.0,0,1689600,422400,0,422400,2150400,422400,21840000,844800,0
210,1344000,22.0,32.0,0,0,1689600,422400,0,422400,2150400,422400,21840000,844800
211,0,22.0,33.0,1344000,0,0,1689600,422400,0,422400,2150400,422400,21840000
212,6124800,23.0,32.0,0,1344000,0,0,1689600,422400,0,422400,2150400,422400
213,4999680,25.0,35.0,6124800,0,1344000,0,0,1689600,422400,0,422400,2150400
214,0,22.0,32.0,4999680,6124800,0,1344000,0,0,1689600,422400,0,422400
215,1689600,21.0,32.0,0,4999680,6124800,0,1344000,0,0,1689600,422400,0
216,1228800,20.0,34.0,1689600,0,4999680,6124800,0,1344000,0,0,1689600,422400
217,1382400,21.0,31.0,1228800,1689600,0,4999680,6124800,0,1344000,0,0,1689600
218,422400,22.0,34.0,1382400,1228800,1689600,0,4999680,6124800,0,1344000,0,0
219,1728000,19.0,32.0,422400,1382400,1228800,1689600,0,4999680,6124800,0,1344000,0
220,0,23.0,32.0,1728000,422400,1382400,1228800,1689600,0,4999680,6124800,0,1344000
221,0,23.0,31.0,0,1728000,422400,1382400,1228800,1689600,0,4999680,6124800,0
222,11155200,21.0,31.0,0,0,1728000,422400,1382400,1228800,1689600,0,4999680,6124800
223,844800,19.0,22.0,11155200,0,0,1728000,422400,1382400,1228800,1689600,0,4999680
224,1267200,15.0,22.0,844800,11155200,0,0,1728000,422400,1382400,1228800,1689600,0
225,1305600,16.0,22.0,1267200,844800,11155200,0,0,1728000,422400,1382400,1228800,1689600
226,2649600,17.0,29.0,1305600,1267200,844800,11155200,0,0,1728000,422400,1382400,1228800
227,0,23.0,30.0,2649600,1305600,1267200,844800,11155200,0,0,1728000,422400,1382400
228,0,22.0,28.0,0,2649600,1305600,1267200,844800,11155200,0,0,1728000,422400
229,2572800,20.0,34.0,0,0,2649600,1305600,1267200,844800,11155200,0,0,1728000
230,1267200,21.0,30.0,2572800,0,0,2649600,1305600,1267200,844800,11155200,0,0
231,422400,19.0,28.0,1267200,2572800,0,0,2649600,1305600,1267200,844800,11155200,0
232,1814400,22.0,32.0,422400,1267200,2572800,0,0,2649600,1305600,1267200,844800,11155200
233,844800,9.0,12.0,1814400,422400,1267200,2572800,0,0,2649600,1305600,1267200,844800
234,0,21.0,30.0,844800,1814400,422400,1267200,2572800,0,0,2649600,1305600,1267200
235,230400,11.0,19.0,0,844800,1814400,422400,1267200,2572800,0,0,2649600,1305600
236,422400,12.0,17.0,230400,0,844800,1814400,422400,1267200,2572800,0,0,2649600
237,0,21.0,26.0,422400,230400,0,844800,1814400,422400,1267200,2572800,0,0
238,1766400,12.0,17.0,0,422400,230400,0,844800,1814400,422400,1267200,2572800,0
239,0,20.0,28.0,1766400,0,422400,230400,0,844800,1814400,422400,1267200,2572800
240,1766400,17.0,25.0,0,1766400,0,422400,230400,0,844800,1814400,422400,1267200
241,0,20.0,30.0,1766400,0,1766400,0,422400,230400,0,844800,1814400,422400
242,460800,22.0,30.0,0,1766400,0,1766400,0,422400,230400,0,844800,1814400
243,0,19.0,21.0,460800,0,1766400,0,1766400,0,422400,230400,0,844800
244,0,15.0,19.0,0,460800,0,1766400,0,1766400,0,422400,230400,0
245,2150400,19.0,30.0,0,0,460800,0,1766400,0,1766400,0,422400,230400
246,0,14.0,24.0,2150400,0,0,460800,0,1766400,0,1766400,0,422400
247,1190400,21.0,32.0,0,2150400,0,0,460800,0,1766400,0,1766400,0
248,0,17.0,26.0,1190400,0,2150400,0,0,460800,0,1766400,0,1766400
249,0,20.0,28.0,0,1190400,0,2150400,0,0,460800,0,1766400,0
250,883200,22.0,34.0,0,0,1190400,0,2150400,0,0,460800,0,1766400
251,1305600,24.0,36.0,883200,0,0,1190400,0,2150400,0,0,460800,0
252,422400,24.0,35.0,1305600,883200,0,0,1190400,0,2150400,0,0,460800
253,844800,25.0,32.0,422400,1305600,883200,0,0,1190400,0,2150400,0,0
254,11289600,25.0,35.0,844800,422400,1305600,883200,0,0,1190400,0,2150400,0
255,0,20.0,26.0,11289600,844800,422400,1305600,883200,0,0,1190400,0,2150400
256,0,18.0,22.0,0,11289600,844800,422400,1305600,883200,0,0,1190400,0
257,0,18.0,23.0,0,0,11289600,844800,422400,1305600,883200,0,0,1190400
258,1267200,24.0,34.0,0,0,0,11289600,844800,422400,1305600,883200,0,0
259,844800,25.0,34.0,1267200,0,0,0,11289600,844800,422400,1305600,883200,0
260,422400,25.0,34.0,844800,1267200,0,0,0,11289600,844800,422400,1305600,883200
261,10876800,23.0,34.0,422400,844800,1267200,0,0,0,11289600,844800,422400,1305600
262,0,19.0,24.0,10876800,422400,844800,1267200,0,0,0,11289600,844800,422400
263,844800,8.0,14.0,0,10876800,422400,844800,1267200,0,0,0,11289600,844800
264,460800,8.0,17.0,844800,0,10876800,422400,844800,1267200,0,0,0,11289600
